Word,GT Metric,GT Rank
traffic,10,4
script,10,4
school,10,4
request,10,4
group,10,4
degree,10,4
college,10,4
week,8,11.5
way,8,11.5
university,8,11.5
superstar,8,11.5
scene,8,11.5
performance,8,11.5
lyrics,8,11.5
luck,8,11.5
class,8,11.5
title,6,20
seat,6,20
president,6,20
officer,6,20
journalist,6,20
hall,6,20
friend,6,20
writer,4,26.5
singer,4,26.5
shoot,4,26.5
road,4,26.5
guy,4,26.5
candidate,4,26.5
service,2,31
parliament,2,31
blue,2,31
wrong,0,38
toilet,0,38
judge,0,38
jeweler,0,38
driver,0,38
doctor,0,38
dialogue,0,38
cancer,0,38
assembly,0,38
anthem,0,38
angel,0,38
uncle,-2,47
room,-2,47
reason,-2,47
question,-2,47
politics,-2,47
house,-2,47
body,-2,47
society,-4,53
play,-4,53
moments,-4,53
defense,-4,53
car,-4,53
vacation,-6,58
rest,-6,58
press,-6,58
farmer,-6,58
day,-6,58
woman,-8,64.5
town,-8,64.5
thing,-8,64.5
people,-8,64.5
magic,-8,64.5
god,-8,64.5
cool,-8,64.5
boy,-8,64.5
money,-10,69.5
matter,-10,69.5
