Word,Computed Metric,Computed Rank
officer,4.618983798,1
dialogue,2.982256931,2
uncle,2.721901167,3
superstar,1.786247641,4
seat,1.576594162,5
farmer,1.360950583,6
degree,1.334945158,7
room,1.196171813,8
scene,1.016176436,9
assembly,0.964724464,10
doctor,0.952665408,11
hall,0.921934266,12.5
toilet,0.921934266,12.5
college,0.680475292,14.5
anthem,0.680475292,14.5
god,0.675649226,16
request,0.646871574,17.5
shoot,0.642246343,17.5
school,0.622344237,19
defense,0.59541588,20
title,0.581780402,21
singer,0.567062743,22
week,0.506961636,23
journalist,0.44656191,24.5
car,0.44656191,24.5
day,0.440720883,26
class,0.419676391,27
university,0.392851715,28
guy,0.357995352,29
magic,0.356136601,30
luck,0.348005629,31
lyrics,0.322937427,32
politics,0.310516756,33
parliament,0.287235802,34
blue,0.273391839,35
cancer,0.26462928,36
president,0.257477137,37
performance,0.244273182,38
friend,0.233782922,39
cool,0.215117995,40
press,0.210146781,41
driver,0.202694768,42
traffic,0.196425857,43
body,0.186797139,44
road,0.170118823,45.5
house,0.170118823,45.5
boy,0.158777568,47
moments,0.157900344,48
group,0.134178227,49
judge,0.12372278,50
wrong,0.117251127,51
vacation,0.108876047,52
thing,0.097960453,53
reason,0.090730039,54
script,0.089874095,55.5
candidate,0.089874095,55.5
matter,0.087803263,57
people,0.076010538,58
service,0.073850032,59
play,0.057438914,60
rest,0.056706274,61
woman,0.055711427,62
society,0.04262485,63
way,0.041258788,64
question,0.024364844,65
money,0.013727167,66
writer,0,68.5
jeweler,0,68.5
angel,0,68.5
town,0,68.5
